,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2022-07-18,25.370000,25.870000,24.850000,24.900000,24.900000,516361,0.000000,1.000000
2022-07-19,25.400000,25.688800,24.560000,25.340000,25.340000,573208,0.000000,1.000000
2022-07-20,25.520000,27.280000,25.220000,26.700000,26.700000,359347,0.000000,1.000000
2022-07-21,26.770000,27.010000,25.932600,26.190000,26.190000,661546,0.000000,1.000000
2022-07-22,26.320000,26.520000,25.377500,25.580000,25.580000,316015,0.000000,1.000000
2022-07-25,25.630000,25.630000,24.760000,25.080000,25.080000,400025,0.000000,1.000000
2022-07-26,25.050000,25.620000,24.010000,24.750000,24.750000,337176,0.000000,1.000000
2022-07-27,25.060000,25.880000,24.910000,25.750000,25.750000,149628,0.000000,1.000000
2022-07-28,25.680000,26.490000,25.530000,26.490000,26.490000,161121,0.000000,1.000000
2022-07-29,26.600000,26.820000,25.970000,26.690000,26.690000,304898,0.000000,1.000000
2022-08-01,26.650000,27.530000,25.530000,27.420000,27.420000,335505,0.000000,1.000000
2022-08-02,27.420000,28.350000,26.820000,28.050000,28.050000,208580,0.000000,1.000000
2022-08-03,28.390000,30.170000,28.390000,29.900000,29.900000,775600,0.000000,1.000000
2022-08-04,29.900000,31.150000,29.370000,30.830000,30.830000,390114,0.000000,1.000000
2022-08-05,30.370000,32.430000,30.370000,32.190000,32.190000,628740,0.000000,1.000000
2022-08-08,32.150000,33.240000,31.980000,32.360000,32.360000,396259,0.000000,1.000000
2022-08-09,32.260000,32.770000,31.289300,31.790000,31.790000,311322,0.000000,1.000000
2022-08-10,32.600000,32.920000,31.675000,31.710000,31.710000,288905,0.000000,1.000000
2022-08-11,31.900000,32.500000,30.980000,31.010000,31.010000,336009,0.000000,1.000000
2022-08-12,30.700000,31.680000,30.700000,31.020000,31.020000,347793,0.000000,1.000000
2022-08-15,30.520000,32.500000,30.510000,31.980000,31.980000,808659,0.000000,1.000000
2022-08-16,31.680000,32.460000,31.540000,32.260000,32.260000,318161,0.000000,1.000000
2022-08-17,31.840000,32.470000,31.695000,32.370000,32.370000,393299,0.000000,1.000000
2022-08-18,32.120000,32.300000,31.180000,31.210000,31.210000,359486,0.000000,1.000000
2022-08-19,30.990000,31.200000,30.340000,30.970000,30.970000,397251,0.000000,1.000000
2022-08-22,30.490000,31.085000,30.200100,30.570000,30.570000,420498,0.000000,1.000000
2022-08-23,30.960000,31.890000,30.580000,31.030000,31.030000,696810,0.000000,1.000000
2022-08-24,34.570000,34.949900,29.369200,30.500000,30.500000,1847809,0.000000,1.000000
2022-08-25,31.000000,31.055000,29.680000,30.090000,30.090000,924389,0.000000,1.000000
2022-08-26,30.000000,30.650000,28.830000,29.030000,29.030000,794676,0.000000,1.000000
2022-08-29,28.610000,29.220000,28.555000,28.600000,28.600000,287428,0.000000,1.000000
2022-08-30,28.670000,29.550000,28.350000,29.260000,29.260000,319416,0.000000,1.000000
2022-08-31,29.200000,29.970900,29.130000,29.630000,29.630000,386208,0.000000,1.000000
2022-09-01,29.080000,29.170000,26.910000,27.760000,27.760000,667871,0.000000,1.000000
2022-09-02,28.120000,28.860000,27.820000,28.030000,28.030000,294573,0.000000,1.000000
2022-09-06,28.150000,29.200000,28.140000,28.470000,28.470000,336819,0.000000,1.000000
2022-09-07,27.300000,29.920000,27.200000,29.390000,29.390000,3280079,0.000000,1.000000
2022-09-08,28.970000,30.080000,28.920000,29.550000,29.550000,428199,0.000000,1.000000
2022-09-09,29.620000,31.270000,29.620000,31.240000,31.240000,484063,0.000000,1.000000
2022-09-12,31.250000,31.990000,30.820000,31.960000,31.960000,361124,0.000000,1.000000
2022-09-13,30.600000,31.530000,30.517800,31.250000,31.250000,465038,0.000000,1.000000
2022-09-14,31.530000,32.135500,31.010000,31.970000,31.970000,569157,0.000000,1.000000
2022-09-15,31.630000,32.480000,31.400000,31.690000,31.690000,446146,0.000000,1.000000
2022-09-16,31.190000,31.190000,29.970000,30.390000,30.390000,1643157,0.000000,1.000000
2022-09-19,30.080000,30.920000,30.070000,30.560000,30.560000,292949,0.000000,1.000000
2022-09-20,30.550000,30.550000,29.810000,30.120000,30.120000,265665,0.000000,1.000000
2022-09-21,30.370000,30.950000,29.850000,29.910000,29.910000,234989,0.000000,1.000000
2022-09-22,29.780000,29.940000,27.910000,28.260000,28.260000,547952,0.000000,1.000000
2022-09-23,27.720000,28.100000,27.240000,28.010000,28.010000,381567,0.000000,1.000000
2022-09-26,27.930000,28.410000,26.790000,27.590000,27.590000,873008,0.000000,1.000000
2022-09-27,27.920000,28.720000,27.680000,28.690000,28.690000,1038710,0.000000,1.000000
2022-09-28,28.920000,30.280000,28.750000,30.040000,30.040000,500038,0.000000,1.000000
2022-09-29,29.730000,30.080000,29.180000,30.000000,30.000000,767039,0.000000,1.000000
2022-09-30,29.820000,30.345000,29.390000,29.560000,29.560000,1043894,0.000000,1.000000
2022-10-03,29.300000,30.515000,29.160000,30.370000,30.370000,426192,0.000000,1.000000
2022-10-04,31.220000,32.545000,30.870000,31.670000,31.670000,622247,0.000000,1.000000
